x y
59.60 476.06
728.41 770.35
960.96 678.58
759.00 386.68
621.24 664.59
762.41 322.80
927.12 339.44
351.22 86.24
899.17 584.86
358.77 95.38
22.95 489.41
530.86 533.31
630.94 511.90
844.20 832.24
828.17 343.91
96.25 691.49
740.90 1.97
529.72 721.96
934.65 185.90
51.50 685.65
924.48 308.68
498.92 644.81
60.35 109.28
665.46 642.38
161.70 576.65
452.29 100.12
154.28 819.17
240.80 264.75
256.70 851.11
361.90 573.21
665.79 440.17
208.95 219.93
688.98 160.09
146.31 734.18
998.04 229.90
453.71 158.93
563.78 371.49
280.94 434.71
397.23 337.50
351.51 202.56
354.13 510.09
404.58 85.01
763.34 171.42
189.72 340.15
868.45 506.53
391.14 55.15
16.92 812.01
481.51 164.42
375.57 633.54
237.19 49.04
